Type,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,Description
Cat,Domestic Short Hair,Mixed,Black,Small,Short,No,No,No,Healthy,3,0,"3 kittens for adoption, DOB 7 Jun , litter trained & defleas.. very playfull, funny & adorable"
Cat,Siamese,Female,White,Medium,Long,None,None,None,Minor Injury,6,0,she is tame siamese persian. she loves to be patted. blue eyed cat. she loves to sleep. she recently got her back leg scratched somewhere.
Cat,Domestic Long Hair,Male,Black,Large,Long,Yes,Yes,Yes,Healthy,1,0,"Hi... I have one long haired adult male cat for adoption. Please email me for details.. I will have a few questions to ask before I determine who will be a suitable new owner of my beloved baby.. Please, a serious adopter only, who's willing to put heart and soul in caring for him...it's not a simple job :-) If you're just looking for a beautiful long haired kitty, please do not waste ur time emailing me. Thank u very much for ur cooperation. Serious adopters pls email me "
Cat,Domestic Medium Hair,Mixed,Yellow,Small,Medium,Yes,Yes,No,Healthy,2,0,"Rescued these 2 brother & sister kitties below my office very human-friendly & exceptionally affectionate Toilet trained They have very good temperament & very interactive with people Both kitties have very nice long tails & fur coat, they may look big in pics but are actually small size for their age. Both kitties are very obedient, very gentle personality"
Dog,Mixed Breed,Female,Cream,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,"Skippy is super friendly, great with kids, easy to handle, you can keep her in door due to her small size, and also she is toilet trained."
Dog,Mixed Breed,Male,Cream,Large,Medium,No,No,No,Healthy,1,0,"Ceasar is a male puppy. He is a very lovely, active and intelligent puppy. He always wanted to play with others dog."
Cat,Domestic Short Hair,Female,Yellow,Medium,Short,No,No,No,Healthy,1,0,"Currently I am taking care of 3 kittens 1 mother cat and 3 other teenager cats. too many for me. Anyone interested in adopting an orange 'puss without boots' baby cat, please sms me. I think it is a she, she is probably 3 weeks old. Need a milk bottle to feed her."
Dog,Mixed Breed,Male,Black,Medium,Medium,No,No,No,Healthy,1,0,"Please help these puppies find good homes...A drain is definitely not a place we can call home! For adoption, kindly contact. Fosterer(s) are welcome, too."
Dog,Shih Tzu,Female,Brown,Medium,Medium,Yes,Yes,No,Healthy,1,0,Ding Ding is adopted. Thanks.
Cat,Domestic Short Hair,Male,Black,Small,Short,No,Yes,No,Healthy,2,0,"Bill and Ben are two adorable rescued male kittens who need a loving home. Both are very clean, very healthy and very playful. It would be nice if they could be adopted together as they enjoy each other's company and play beautifully together, but they can be adopted separately. Both are litter trained and love being held and stroked, they will be very loving pets."
Cat,Domestic Short Hair,Female,Brown,Medium,Short,No,No,No,Healthy,1,0,"Almond is an adorable 9 month old female cat with a pretty brown and white coat and a soft and caring nature. She loves nothing more than a rub on her tummy, and we are very sad to give her away! She comes along with Luna, they are sisters and we cannot seperate them. NO CAGING PLEASE. -included: Cat Carrier [good material]"
Dog,Labrador Retriever,Male,Black,Small,Short,Yes,None,No,Healthy,1,0,3 month-old male puppy for adoption. a cross between two pure breeds (Labrador & Jack Russel). Had all his shots/ vaccination.Has tan & black fur. Serious pet lovers only. Looking for a good home for him as we can't keep him. Ty ♥
Dog,Pit Bull Terrier,Mixed,Black,Medium,Medium,No,No,No,Healthy,9,100,"I have two litters of puppies for adoption.. Their breed include american pit bull,rottwiler,finnish spitz and lapponian herder.. AMERICAN PIT BULL TERRIER CROSS ROTTWILER PUPPY FOR SALE! Mom pitbull/Dad rottwiler(Both extremely tame) Born /14 Still available for sale 4 males and 1 female. Shows extreme strength just days after born. Shows signs of high alertness(perfect watch dog) Started barking and howling at 9 days old! Started walking and open eyes at 10 days! Started playing and fighting at 15 days. Started solid food at 25 days. Numbering as in the pictures.. (SOLD)1)Color mohogany,male,american pit bull terrier body type and hair,medium sized head with bull dog characteristics. (SOLD)2)Color rottwiler,male,pit bull body type(large)and hair,big sized head with bull dog characteristics. (SOLD)3)Color rottwiler,male,pit bull body type(large)and slightly longer hair,big sized head with bull dog characteristics. (SOLD)4)Color white,male,american pit bull terrier body type and more fluffy hair,small sized head. (SOLD)5)Color white,female,american pit bull terrier body type and hair,small sized head. FINNISH SPITZ CROSS LAPPONIAN HERDER PUPPY FOR SALE! Mom finnish spitz/Dad lapponian herder. Born /14 Still available for sale 3 females and 1 male. Likes to be around people. Shows extreme intelligence. Shows signs of high alertness(perfect watch dog) Started barking and howling at 10 days old! Started walking and open eyes at 12 days! Started playing and fighting at 17 days. Started solid food at 25 days. (AVAILABLE)1)% lapponian herder,female. (SOLD)2)Color finnish spitz(lighter tone),female,very active and likes to glue to people! (SOLD)3)Color finnish spitz(fluffy hair),female. (BOOKED)4)Color finnish spitz,male. Transportation can be provided for outstation buyers but charges will apply. For more info or inquiries pls feel free to contact me.."
Dog,Mixed Breed,Female,Brown,Medium,Short,No,Yes,No,Healthy,1,0,Hi Coco is a rescued puppy from the streets. If you would like to adopt her pls contact me. She is very active and is very friendly with other dogs.
Dog,Mixed Breed,Male,Brown,Medium,Medium,Yes,Yes,No,Healthy,1,0,For Adoption
Dog,Silky Terrier,Male,Black,Small,Long,Yes,Yes,None,Healthy,1,750,"he is the best breed of the so you can train him easily. He is very playful.toilet, sit, come and jump trained. Moreover, his color will change to silver color when he grown. I don't have enough time to care him. He deserve to have a good family."
Dog,Mixed Breed,Male,Black,Medium,Medium,No,Yes,No,Healthy,1,0,Tanto needa a good home...he is a beautiful and more ppl person.very calm personality. Hoping for adopters around penang or kulim.He is not as photogenic as his brother....but everyone that seems him...goes like ...woooww so beautiful
Dog,Mixed Breed,Female,Black,Medium,Medium,No,No,No,Healthy,2,0,Very adorable and cute puppies Commitment to spay them when reach 6 months old is compulsory Serious adopter pls call.
Dog,Rottweiler,Male,Black,Large,Medium,None,None,None,Healthy,1,0,"We was found this dog from a roadside i think its abandoned, Its a Rottweiler mix breed.. If anybody would like to take care and give him a new home by ur kind adoption pls do contact me. -Rishi Location : Taman kinrara sek 2,Puchong **Your kind adoption will give them a new life,Thanks and God Bless**"
Cat,Domestic Medium Hair,Male,Black,Medium,Medium,None,None,No,Healthy,1,0,owner desert them.....
Cat,Domestic Long Hair,Mixed,Cream,Small,Medium,No,No,No,Healthy,2,0,"These kittens were found in neighbourhood. Please adopt them, as we have no room to adopt new pets. I already have two cats of my own. The cream coloured is a male & grey is a female. Please adopt it as a pair."
Dog,Husky,Female,Black,Medium,Medium,None,None,Yes,Healthy,1,0,"Sweetie was rescued in Jan 08. The rescuer has taken great care of this mild mannered yet personable dog. She was unknowingly rescued pregnant, and gave birth to a litter of 5 pups. Sweetie is protective of the home, very friendly, very alert - makes a good watch dog and companion as well. Is not too hyper but has the energy to play too. she is suspected to be between 2-3 yrs old, is healthy, and very very pretty! See Sweetie here: and Contact:"
Cat,Domestic Short Hair,Female,Brown,Small,Short,Yes,Yes,No,Healthy,1,0,"Honey is a female ginger tabby, with big puppy eyes. Biscuit and herself both have adorable kink tails just like Miso (both listed on my account). She has a personality as sweet as her name, and she likes mewing gently for permission to lounge on our laps. She is a little more shy compared to her siblings but she easily warms up to you. Adopters must continue to deworm, vaccinate and NEUTER. Preferably kept strictly indoors, and allowed to roam and climb around. Been toilet trained. Been fed AvoDerm canned cat food, so please do not feed lower quality kibbles. Please message or WhatsApp to enquire more about the cats."
Cat,Domestic Short Hair,Mixed,Black,Medium,Short,Yes,Yes,No,Healthy,2,1,"Kittens found living at restaurant, with sibling fostering until we find a home for them. See mate as Samantha on petfinder. Uncertain of sex at this time, will pay fee for neuter or spay if you wish to adopt this cat, Pre-paid with vet at the time of adoption. Please contact Mel at for details about kitten."
Cat,Domestic Short Hair,Female,Gray,Medium,Short,No,Yes,No,Healthy,1,0,"10 weeks old cute female kitty, lovable, cuddly seeking a new owner. Very active and playful. Toilet trained. Anyone interested can contact."
Cat,Domestic Short Hair,Female,Black,Medium,Short,Yes,Yes,No,Healthy,1,0,"Charlie was rescued by dogs! A friend was walking his dogs when they suddenly became excited outside an apartment complex and sniffed out a shoe box. Inside the shoe box was little Charlie! He was about 6 weeks old then, emaciated and dehydrated, just a scrap of skin and bones. He had a bad tummy virus but survived it after two weeks of antibiotics. Now he needs a permanent home! Charlie is very active, playful, and affectionate. He likes playing with other cats and sitting on people's laps. He uses his litterbox without fail. Charlie is best suited for indoor living, free-roaming inside a house or apartment. Adoption Procedure: - We'll have a chat and see if you and Charlie are suitable for each other. Then you can meet and see if you get along :) - Successful adopter will then have to meet us at my vet in order to get the little tyke vaccinated. Then your new family member is yours to take home and love forever. - Cost of vaccinations and neutering to be borne by adopter. I am primarily an independent rescuer/fosterer. My funds are extremely limited. - I do appreciate occasional updates and photos after a successful adoption! Vaccinations and neutering at 6 months of age are COMPULSORY for adoption. There are already too many stray homeless animals starving and suffering in the streets.. Look how Charlie started out! Please don't breed. When you want more pets, you can always ADOPT from a shelter. No cage confinement please, except in incidences of illness or injury. Imagine how bored, restless, and angry you'd be if you were locked up all the time. Prison is punishment! Interested parties can text or email me. An introduction of yourself, your experience with cats, and your approach to their care is greatly appreciated. Serious inquiries from responsible cat lovers only please. I want Charlie to be loved his whole life :)"
Dog,Golden Retriever,Female,Brown,Large,Medium,Yes,Yes,No,Healthy,1,0,"hi, this is jessy and she's a pure golden retriever dog born on the 20th march . she have been vaccinated 3 times and heartgard also have done. her health history completely clear and she haven't been spayed. the reason giving her for adoption is we could not spend much time with her due to personal issue so we want to give her to a better owner who can really look after the cutie. there is no any hidden fee shes a very friendly dog..for more info and if u r intrested call/sms or watsapp on. other things can be discuss later..thanks :) ps : we look adopter nearby klang - pj-subang-shahalam - other places cn discuss coz will visit her once in a month- and adopter also must agree to spay her .."
Dog,Mixed Breed,Mixed,Black,Medium,Medium,Yes,Yes,No,Healthy,3,150,These three adorable puppies are found at the back of a friend's house. They sought shelter at a wooden pallet in the bushes but it was not enough to shelter them from the rain. Please give them a chance to lead a healthy and happy life with you and your family. Bring them home and make them your life-long companion.
Dog,Rottweiler,Male,Black,Large,Short,Yes,Yes,Yes,Healthy,1,0,"I am looking for a loving permanent home for Kaiser. Kaiser is a really amazing, sweet and funny dog. He is very loving and affectionate, who loves and NEEDS attention. He needs someone that will treat him like part of the family and the sweet dog he is. He grew up with 2 cats and another small dog. he loves cats however it takes him awhile to respond well to new dogs. He never really socialized with children before, so if you have kids I would suggest meeting Kaiser with them before making a decision.He grew up mostly as an indoor dog but can do well outside if there is a shady place for him to relax during the hot parts of the day. NO Cage, No chain! please note that Kaiser is a family pet not guard dog. Kaiser is a pure breed rottweiler, he has his MKA certificate, basic dog obedience training certificate and a good citizens award metal. He also knows almost all the tricks: sit, stay, shake etc.and is a super fast learner. The reason I have to give him up for adaption is, Im an expat who was living in Malaysia for 5 years, I had to leave and unfortunately I was unable to take Kaiser with me (his breed was band in the country I moved to). I'm looking for someone to give him a permanent loving home. Kaiser is one of those dogs that crave that best friend relationship with his owner. so if you think he sounds like a good match for you please email me. my number is not available as I am out of the country, Kaiser is staying with my friend in Selangor for now."
Dog,Siberian Husky,Male,Black,Medium,Medium,Yes,No,No,Healthy,1,400,"- Beautiful dog, with a pair of smart Blue eyes - Cute and lovely companion. - Actively interact with owner - Naughty sometimes by howling all over, especially when ambulance/fire truck passes by. - Obedient, knows how to sit and hand command. - Attention seeker, it's just a 1 y/o after all - Love running around, oh ya bites too For adoption: 1. Please text me or email me. Will provide more details/photo upon request. And will arrange for a visit before adoption for Oscar's new home if you're shortlisted. 2. Looking for a responsible and caring owner who will treat the dog as family rather than a pet, and not for the sake of owning a HUSKY for ""WOW"" impression. 3. Preferably owner with experience in caring dog, and have an well environment for him to stay around. 4. Cannot always cage it and have to update me its latest status. Once a while have a meet up. If you agree with the T&C, you may send me following details: -Occupation -Address -Contact number -Currently have how many dogs -Breed -Photos of your dog *Short listed person have to arrange time to bring your dog meet up with Oscar see whether they can play together or not."
Dog,Mixed Breed,Mixed,Black,Large,Short,None,None,None,Healthy,2,0,"I found 2 puppies at Ktm station teluk pulai, klang parking lot.As there is many car moving in and out in that area,i worried they will get roll over by car. I don't want send them to SPCA because they will put them to sleep if no one adopting them and I can't adopt them because I already adopt 3 stray dog in front of my house. They are healthy and adorable! I'm now fostering them and i looking for dog lovers to adopt them. Anyone want to adopt Pls call me at (chew). Adopters must agree to fully vaccinated them and also spay them when they reach 6 months old."
Cat,Domestic Medium Hair,Male,Black,Small,Medium,No,No,No,Healthy,1,0,"stray kitten together with 4 other siblings. need to be adopted in pairs. just so that they all have friends to play with. healthy, playful, active. gender & age not sure."
Dog,Mixed Breed,Male,Brown,Medium,Medium,Yes,Yes,No,Healthy,1,0,Milo is a sweet boy who was abandoned in front of the Shelter by a guy whose dog got pregnant They were born into a home. Milo is a handsome mixed breed who is friendly and playful. Please open your hearts and home to him. Call us at if you wish to adopt.
Cat,Domestic Medium Hair,Female,Black,Small,Medium,No,No,No,Healthy,5,0,Mummy and kitties were left at the doorstep of a kindergarten. The kitties are about 3 weeks old. Would appreciate if anyone can adopt the whole family
Cat,Siamese,Male,Brown,Medium,Short,Yes,Yes,No,Healthy,1,50,"Mocha is very playful and energetic cat. he will play 24/7. He is a handsome with amazing fur and white eye color. Eventhough he loves playing, he loves to be pampered :) he is toilet trained and loves blackwood :)"
Dog,Doberman Pinscher,Mixed,Black,Large,Short,Yes,Yes,No,Healthy,3,0,"Beautiful, lovable puppies. The mother had 9 puppies in the litter and these 3 were given to me to be given away for adoption...they are big bone and the father is huge...please call me and give them a good home. God bless."
Dog,Mixed Breed,Male,Black,Medium,Short,No,None,No,Healthy,1,0,It is my home away dogs born. Dog mother to take care of them very well. Puppy looks very healthy and cute. I hope that you will give them a home.
Cat,Calico,Female,Black,Medium,Short,Yes,Yes,No,Healthy,1,0,Cat for adoption
Cat,Domestic Medium Hair,Female,Gray,Medium,Medium,Yes,Yes,No,Healthy,2,0,"The Blueys were recued by my neighbor in the drain. Took them up & didn't know what to do with them. Mother cat didn't come back to feed. So passed over to me. I foster them for a night with Pet's own milk. Then handed over to Kah Yein (founder of animalcare.org)to foster for more than a month now. She became the fosterer & did a fantastic job as the Blueys are almost equal in size not as before, one healthier & bigger & the other is weaker & smaller. They have been dewormed, examined by the vet, vaccinated & given a clean bill of health. The Blueys are up for adoption. They need to be adopted together. They need each other for company and as playmates. They need each other's warmth as well. Fosterer criterion for adoption: Love them as much as you love yourself. She only has one pledge ""Please be committed to loving and caring for them for their entire lifetime"". Home must be landed. Must have good history with cats. Blueys must be kept indoor at all times. Should be fed premium food ( no Whiskas, Friskies kibbles if possible) Must have a steady vet clinic for health follow up & emergencies."
Cat,Domestic Medium Hair,Mixed,Black,Medium,Medium,No,No,No,Healthy,5,0,"I have 5 cute kittens available for adoption. They were furkids of my own pet Garfield and Miao Miao. They have managed to bring us 10 more kittens into our household. We were too late to neutered Miao Miao and found she is pregnant again. 12 cats in the house are just too much for us to handle. We love the kittens very much, but we have to find future good owner for them for their better future, as we can't provide them enough attention to each of them. This batch of kittens is mixed bengal. as their father is mixed bengal and their mother is DSH calico. All kittens are healthy, active , and fun loving. Their will definitely cheer you up, when u see them playing around. All kittens are litter-trained, and feed on ""orijen"" kibble. Adoption fees is FOC, but we would ask few question to access if you are the suitable adopter for the kittens. You can adopt 1 or as pair of kittens. Serious adopter please contact me by email: /(sylvia) or samantha"
Dog,Beagle,Male,Brown,Medium,Short,Yes,Yes,No,Healthy,2,0,2 males beagle & schnauzer for adoption. 10 & 8 years old respectively.
Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,Yes,Healthy,1,0,"Latte was found wandering in the playground, wounded and wearing a worn out collar. We believe that she was abandoned by her owner. Despite her masculine looks, she's very sweet, calm, gentle, very loyal and loving to my family. Able to socialise with my 3 other dogs (male & female). Excellent watchdog. She Please give her a home as she is now wandering outside my gate, under rain and shine. My parents will not accept him into the family as we already hv 3 rescue dogs. Call Teresa for adoption details."
Cat,Domestic Short Hair,Mixed,Yellow,Medium,Short,No,No,No,Healthy,2,0,"Putih (female) Oren (male) Sangat aktif (semua kittens pun aktif). Toilet trained. We would like to find a loving home for Putih and Oren. Please consider that having a pet is a long term commitment, we need somebody loving and responsible taking care of them. contact:, Shah Alam Area."
Dog,Mixed Breed,Male,Black,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Roscoe is a loving dog which was rescued off the streets. He is a very good watch dog as well.
Cat,Persian,Male,Black,Large,Long,No,Yes,No,Healthy,1,0,"This adorable sweet male is for adoption as I already have 4 cats, and not enough time taking care of them as I am working and studying at the same time."
Cat,Domestic Short Hair,Female,Gray,Medium,Short,Yes,Yes,No,Healthy,1,0,"I picked her up at Sg.Buloh roadside. When I rescue her, she have lack of vitamin B12 which cause her leg can't walk properly. I've sent her to vet & x-ray, been taking care of her for almost a month. Now she is fully recover which she is quite active on running here and there. Hope can find her a great home. Btw, she is toilet trained. =) FREE for adoption. Please help to adopt her...thank you! Call me or SMS me at: (TEH)"
Dog,Doberman Pinscher,Male,Black,Medium,Short,Yes,Yes,Yes,Healthy,1,0,"Scooby The Doberman Mix Is Looking For His Forever Home Scooby is a strong, handsome, inquisitive boy that has so much love to give. He is an extremely happy and energetic boy and loves to play in the garden. He is currently in a foster home and desperately looking for his forever home. If you would like to offer Scooby a forever home, please call me."
Cat,Domestic Medium Hair,Mixed,Black,Medium,Medium,No,No,No,Healthy,3,0,"Three gorgeous medium length hair cats rescued from a roadside in setapak. Snowy is the mama cat. She has greyish black fur with a white undercoat. I don't know how else to describe it. She looks dark grey but if you brush her fur up its all white underneath.. She's no more than 2 years old, still a young lady. She's an affectionate and intelligent cat that prefers a quiet, mellow environment. I think her type of coat coloring is called Black Smoke. The little black tabby with striped legs is Luna. She's a female kitten, about 3 weeks old now and looks just like her mummy. She's the lazier of the two kittens. She loves sleeping and cuddling up with Snowy all day. The silver tabby is Rajah. I've named him after Princess Jasmine's pet tiger in Disney's Aladdin cartoon. He's more adventurous than his cozy, comfort-loving sister. Every time I check on them, he's awake and looking at me with wide eyes. The kittens will be ready for adoption in about 4-6 weeks time, once they are fully weaned and litter-trained. Snowy will be ready for adoption once her kittens are fully weaned and she has been spayed. - Set up a meeting with me and the pet of your choice. - We'll have a chat and see if you and kitty are suitable for each other. - Successful adopter will then have to meet us at my vet in order to get the little tyke vaccinated. Then your new family member is yours to take home and love forever. - Cost of vaccinations and neutering to be borne by adopter. Although I do volunteer with the Selangor SPCA in my free time, I am primarily an independent rescuer/fosterer. My funds are extremely limited. - I do appreciate occasional updates and photos after a successful adoption! Vaccinations and neutering/spaying at 6 months of age are compulsory for adoption. There are already too many stray homeless animals starving and suffering in the streets.. Don't breed. When you want more pets, you can always ADOPT from a shelter. No cage confinement please, except in incidences of illness or injury. Interested parties can text or email me. A brief introduction of yourself and your experience with cats is greatly appreciated."
Cat,Oriental Short Hair,Female,Yellow,Small,Short,No,No,No,Healthy,1,0,"Rescued the kitten from Monsoon drain yesterday during raining time. She was crying so loudly and we had to craw into the hole to rescue her out from the drain. However, we cannot keep her as we already have many rescued cats at home. Need some kind hearted soul to adopt her. Please contact me at . Otherwise, we will just release her at some eatery and hopefully she will make it. Thank you."
Dog,Mixed Breed,Female,Black,Medium,Medium,None,None,None,Healthy,5,0,She's a female puppy about 2 weeks old. Currently stays together with her mother and sisters at our house. Hope you can give her a good forever home.
Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,No,Healthy,1,0,"She used to follow a pack of adult dogs near my office area. But my office area is not a dog-friendly place. One restaurant here always complain to DBKL (which could have caught all the adult dogs of her pack). So, yesterday she was left alone and deserted. Please, anyone can giv her a home? I have about 20cats. Seriously can't afford to take her in."
Dog,Mixed Breed,Female,Brown,Large,Short,None,Yes,None,Healthy,1,0,Dear all dog lovers~ I'm helping my friend to share the post. She rescued the puppies & they waiting for a Home~ Condition : - Must bring them to spay when over 6 months old. - Must bring them to vet vaccine . - Must promise not to abandoned & abuse. - If not suitable please contact rescuer & don't simply give to other people without let rescuer know. - Must allow to visit half a year or rescuer decide. - Must keep contact with rescuer. - Truly care & love them. Contact Number : (li mei) Thank you. --------------------------------------------------- （狗狗已被领养了，谢谢） 各位，我只是帮忙朋友分享。 她救到了几只可爱的小狗宝，几只已成功领养了。 剩下2只可怜的姐妹狗宝在等待一个温暖的家。 请读以下的条件： - 狗宝6个月后，必须带去结扎。 - 一定要带它们打预防针 - 答应不准遗弃和虐待 - 如不适合领养请通知义工，请不要在没通知义工之下随便送给不认识的人。 - 请允许半年探望一次或义工自己决定。 - 一定要跟义工保持联络。 - 一定要真心对待它，爱护它。 有兴趣请联系 : (li mei) 谢谢。
Cat,Domestic Short Hair,Female,Black,Medium,Short,No,Yes,No,Healthy,1,0,The most fun-loving cat one could have! sms/whatsapp at :)
Cat,Siamese,Male,Brown,Small,Short,No,No,No,Healthy,1,0,"*** Looking for someone who really love and adore cats....And someone can share their love and spare a time for him *** *** Own Pick up / Collection : Call To Make Arrangement *** *** Must adopt 2 of them, for the play together *** Interested Please Call : (Emy)"
Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,No,Healthy,1,80,"This lovely Lady is Active, Playful & Friendly. She and her siblings were rescue from a factory which the mother dog gave birth at; and is now looking for loving home. She is Vaccinated, Dewormed & De-ticked."
Cat,Tabby,Male,Black,Large,Short,Yes,Yes,No,Healthy,1,20,"This tabby was found by the clinic, has been staying there for a year and is with the original collar.. Dr.Ng has been taken care of the tabby ever since. Manja, quiet and seems a bit spoiled, he'll be a great companion for those yg duduk sorang, or even family. (NOTE: I am posting behalf of the doctor as he asked for my help. The cat is currently fostered at his clinic. He has taken these cats in out of his good heart, any donation even RM10 would be great to thank the doctor and his clinic for being an angel to foster/feed/vaccinate/take care of the cats without asking a single cent. If anyone is interested you can visit Valley Pets Vet Clinic in Sg.Long, Cheras or contact me for further info ^^)"
